Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong
Bukhara,30448,Valid,CV3,600,,reclat,reclong
Bulls Run,5163,Valid,Iron?,600,,reclat,reclong
Bunburra Rockhole,48653,Valid,Eucrite,600,,reclat,reclong
Bununu,5165,Valid,Howardite,600,,reclat,reclong
Bur-Gheluai,5169,Valid,H5,600,,reclat,reclong
Burnwell,5175,Valid,H4-an,600,,reclat,reclong
Bursa,5177,Valid,L6,600,,reclat,reclong
Buschhof,5178,Valid,L6,600,,reclat,reclong
Bustee,5181,Valid,Aubrite,600,,reclat,reclong
Butsura,5183,Valid,H6,600,,reclat,reclong
Buzzard Coulee,48654,Valid,H4,600,,reclat,reclong
Cabezo de Mayo,5185,Valid,L/LL6,600,,reclat,reclong
Cabin Creek,5186,Valid,"Iron, IIIAB",600,,reclat,reclong
Cacak,5187,Valid,OC,600,,reclat,reclong
Cali,45976,Valid,H/L4,600,,reclat,reclong
Calivo,5200,Valid,Stone-uncl,600,,reclat,reclong
Campos Sales,5249,Valid,L5,600,,reclat,reclong
Çanakkale,5250,Valid,L6,600,,reclat,reclong
Cañellas,5251,Valid,H4,600,,reclat,reclong
Cangas de Onis,5252,Valid,H5,600,,reclat,reclong
Canon City,5253,Valid,H6,600,,reclat,reclong
Cape Girardeau,5260,Valid,H6,600,,reclat,reclong
Capilla del Monte,5264,Valid,H6,600,,reclat,reclong
Carancas,45817,Valid,H4-5,600,,reclat,reclong
Caratash,5265,Valid,LL6,600,,reclat,reclong
Castalia,5291,Valid,H5,600,,reclat,reclong
Castel Berardenga,5292,Valid,Stone-uncl,600,,reclat,reclong
Castine,5293,Valid,L6,600,,reclat,reclong
Castrovillari,5295,Valid,Stone-uncl,600,,reclat,reclong
Caswell County,5296,Valid,OC,600,,reclat,reclong
Ceniceros,5306,Valid,L3.7,600,,reclat,reclong
Centerville,5307,Valid,H5,600,,reclat,reclong
Cereseto,5308,Valid,H5,600,,reclat,reclong
Chadong,5313,Valid,L6,600,,reclat,reclong
Chail,5314,Valid,H6,600,,reclat,reclong
Chainpur,5315,Valid,LL3.4,600,,reclat,reclong
Chajari,5316,Valid,L5,600,,reclat,reclong
Chandakapur,5320,Valid,L5,600,,reclat,reclong
Chandpur,5321,Valid,L6,600,,reclat,reclong
Changde,5322,Valid,H5,600,,reclat,reclong
Chantonnay,5325,Valid,L6,600,,reclat,reclong
Charlotte,5328,Valid,"Iron, IVA",600,,reclat,reclong
Charsonville,5329,Valid,H6,600,,reclat,reclong
Charwallas,5330,Valid,H6,600,,reclat,reclong
Chassigny,5331,Valid,Martian (chassignite),600,,reclat,reclong
Château-Renard,5332,Valid,L6,600,,reclat,reclong
Chaves,5334,Valid,Howardite,600,,reclat,reclong
Chela,5338,Valid,H4,600,,reclat,reclong
Chelyabinsk,57165,Valid,LL5,600,,reclat,reclong
Chergach ,47347,Valid,H5,600,,reclat,reclong
Chernyi Bor,5339,Valid,H4,600,,reclat,reclong
Cherokee Springs,5340,Valid,LL6,600,,reclat,reclong
Chervettaz,5341,Valid,L5,600,,reclat,reclong
